epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.01611,0.99317,2.76471,1.34129,0.00717,0.42188,0.24757,0.15494,0.97268,2.98974,1.24437,0.00025005,0.00025005,0.00025005
2,12.7022,0.93001,1.60295,1.27152,0.9203,0.19388,0.25858,0.15743,1.11745,2.85418,1.46674,0.000511654,0.000511654,0.000511654
3,17.4361,0.96118,1.38197,1.30276,0.85354,0.25,0.35044,0.18245,1.29596,2.52786,1.45113,0.000767977,0.000767977,0.000767977
4,22.4878,1.02653,1.38398,1.34585,0.75162,0.27188,0.46254,0.25991,1.34708,2.53309,1.67848,0.00101902,0.00101902,0.00101902
5,27.2272,1.02322,1.32434,1.33163,0.85431,0.31855,0.5313,0.32176,1.34088,2.25346,1.61437,0.00126478,0.00126478,0.00126478
6,32.5042,1.03623,1.27145,1.31355,0.73347,0.49631,0.58874,0.38345,1.27429,1.91975,1.48315,0.00150526,0.00150526,0.00150526
7,37.2992,1.03342,1.19981,1.30646,0.66881,0.54289,0.59551,0.37094,1.36201,1.85681,1.64238,0.00156798,0.00156798,0.00156798
8,42.363,1.01326,1.1906,1.30733,0.6588,0.57475,0.569,0.35971,1.2525,1.61871,1.53701,0.00155148,0.00155148,0.00155148
9,47.0756,0.98966,1.11083,1.30013,0.71966,0.5534,0.60442,0.38569,1.29311,1.65653,1.62,0.00153497,0.00153497,0.00153497
10,51.6197,0.97757,1.12227,1.28131,0.67552,0.59755,0.61399,0.40169,1.18469,1.50238,1.44163,0.00151847,0.00151847,0.00151847
11,56.3102,0.94192,1.06684,1.25518,0.79236,0.56412,0.63762,0.41306,1.21987,1.38085,1.42117,0.00150197,0.00150197,0.00150197
12,61.0097,0.92532,1.03893,1.24138,0.69338,0.55852,0.61252,0.40315,1.20686,1.52721,1.40183,0.00148546,0.00148546,0.00148546
13,65.601,0.93392,1.04573,1.27293,0.8179,0.52941,0.60194,0.41732,1.19285,1.50476,1.46489,0.00146896,0.00146896,0.00146896
14,70.3497,0.8924,0.99216,1.21849,0.78021,0.49417,0.57137,0.36423,1.39078,1.62328,1.56196,0.00145246,0.00145246,0.00145246
15,74.7947,0.91223,1.00436,1.25344,0.69661,0.60808,0.61257,0.41641,1.23695,1.38018,1.446,0.00143595,0.00143595,0.00143595
16,79.2973,0.89163,0.95082,1.23999,0.7398,0.6034,0.64898,0.43197,1.28249,1.51519,1.44678,0.00141945,0.00141945,0.00141945
17,83.9316,0.87252,0.92955,1.21918,0.75549,0.54175,0.63,0.41093,1.27927,1.49692,1.49503,0.00140295,0.00140295,0.00140295
18,88.8402,0.91207,0.95026,1.22889,0.73226,0.5736,0.60667,0.3966,1.26906,1.56666,1.46152,0.00138644,0.00138644,0.00138644
19,93.7724,0.87443,0.90035,1.19373,0.76145,0.63289,0.68961,0.46504,1.19873,1.25663,1.34854,0.00136994,0.00136994,0.00136994
20,98.4031,0.87002,0.90342,1.23109,0.85036,0.54259,0.67731,0.45647,1.20364,1.25573,1.38842,0.00135344,0.00135344,0.00135344
21,102.941,0.85702,0.88375,1.20392,0.89,0.56495,0.69167,0.46043,1.18135,1.22372,1.45661,0.00133693,0.00133693,0.00133693
22,107.607,0.87856,0.90435,1.22446,0.74364,0.55167,0.61134,0.38121,1.36458,1.52379,1.67032,0.00132043,0.00132043,0.00132043
23,112.037,0.86047,0.8778,1.22327,0.81241,0.60233,0.67409,0.43527,1.28683,1.25477,1.49551,0.00130393,0.00130393,0.00130393
24,116.739,0.86709,0.86531,1.21334,0.87183,0.64681,0.694,0.45923,1.23459,1.24723,1.41443,0.00128742,0.00128742,0.00128742
25,121.474,0.87072,0.86185,1.22009,0.80017,0.65028,0.70031,0.46562,1.18336,1.19675,1.39713,0.00127092,0.00127092,0.00127092
26,126.103,0.80731,0.7985,1.16689,0.78424,0.64588,0.7256,0.47798,1.1109,1.09556,1.3771,0.00125442,0.00125442,0.00125442
27,130.978,0.79471,0.81436,1.16852,0.87829,0.60968,0.698,0.48173,1.1212,1.12602,1.37643,0.00123791,0.00123791,0.00123791
28,135.492,0.82344,0.83642,1.19316,0.75121,0.59957,0.67364,0.4533,1.15917,1.23888,1.40524,0.00122141,0.00122141,0.00122141
29,140.146,0.82732,0.81456,1.19103,0.69093,0.72488,0.70386,0.49357,1.10826,1.08278,1.3118,0.00120491,0.00120491,0.00120491
30,144.886,0.79735,0.76247,1.15929,0.76187,0.66173,0.73698,0.52243,1.04109,1.0877,1.27971,0.0011884,0.0011884,0.0011884
31,149.439,0.79076,0.80234,1.17008,0.78772,0.72225,0.75289,0.53443,1.0074,0.98162,1.24586,0.0011719,0.0011719,0.0011719
32,154.183,0.79995,0.7468,1.16331,0.71635,0.69365,0.71502,0.45913,1.20333,1.14845,1.40313,0.0011554,0.0011554,0.0011554
33,158.768,0.76331,0.72083,1.12373,0.8238,0.65245,0.72229,0.44609,1.20058,1.21723,1.35984,0.00113889,0.00113889,0.00113889
34,163.217,0.78927,0.7656,1.16895,0.83569,0.66114,0.7388,0.51205,1.04589,0.99832,1.29958,0.00112239,0.00112239,0.00112239
35,167.699,0.80284,0.74761,1.18324,0.83061,0.66018,0.73745,0.52506,1.04714,0.98653,1.29408,0.00110589,0.00110589,0.00110589
36,172.635,0.80872,0.75301,1.16528,0.75555,0.67402,0.72614,0.50983,1.0973,0.99518,1.337,0.00108938,0.00108938,0.00108938
37,177.501,0.77651,0.70995,1.14688,0.71848,0.71464,0.72906,0.50632,1.06646,1.0773,1.34438,0.00107288,0.00107288,0.00107288
38,182.184,0.73822,0.69339,1.13906,0.872,0.62977,0.72418,0.51177,1.05516,1.1091,1.28834,0.00105638,0.00105638,0.00105638
39,187.046,0.7677,0.71694,1.1454,0.81658,0.69914,0.74965,0.51595,1.03923,0.99598,1.26403,0.00103987,0.00103987,0.00103987
