epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7042,0.99317,2.76471,1.34129,0.00717,0.42188,0.24757,0.15494,0.97268,2.98974,1.24437,0.00025005,0.00025005,0.00025005
2,19.3549,0.93241,1.60707,1.27229,0.92357,0.18338,0.25266,0.15328,1.12376,2.86241,1.48804,0.000514212,0.000514212,0.000514212
3,25.6428,0.9542,1.37633,1.30034,0.86427,0.27628,0.39062,0.21802,1.2544,2.47464,1.44048,0.000775733,0.000775733,0.000775733
4,32.1501,1.03105,1.39154,1.35098,0.85367,0.24881,0.35564,0.20999,1.39112,2.61484,1.7763,0.00103461,0.00103461,0.00103461
5,38.296,1.02267,1.3407,1.33047,0.69127,0.42635,0.51815,0.31002,1.33123,2.12956,1.71264,0.00129085,0.00129085,0.00129085
6,44.9291,1.05857,1.2999,1.31627,0.54066,0.41739,0.3952,0.2431,1.50813,2.22903,1.63709,0.00154445,0.00154445,0.00154445
7,50.6798,1.04984,1.22996,1.31819,0.6972,0.52066,0.53326,0.3413,1.35989,1.73614,1.60897,0.00161749,0.00161749,0.00161749
8,56.4886,1.0091,1.18037,1.31321,0.64428,0.48401,0.48075,0.31407,1.34365,1.86831,1.64268,0.00160924,0.00160924,0.00160924
9,61.2862,0.99374,1.14421,1.3023,0.62121,0.53707,0.54367,0.35754,1.32234,1.77628,1.57291,0.00160099,0.00160099,0.00160099
10,66.2646,0.98382,1.15586,1.28106,0.61594,0.47426,0.48753,0.30938,1.31494,1.80799,1.61166,0.00159274,0.00159274,0.00159274
11,71.7097,0.96481,1.0912,1.27295,0.76193,0.59191,0.64272,0.41793,1.26087,1.45028,1.46749,0.00158448,0.00158448,0.00158448
12,77.1084,0.93838,1.05854,1.2443,0.68047,0.60999,0.64649,0.42418,1.22464,1.4548,1.41797,0.00157623,0.00157623,0.00157623
13,82.7994,0.94615,1.0561,1.26877,0.74189,0.57747,0.62523,0.41476,1.15382,1.35461,1.41376,0.00156798,0.00156798,0.00156798
14,88.1343,0.92316,1.04034,1.25543,0.74355,0.58203,0.63505,0.40476,1.21552,1.37121,1.46336,0.00155973,0.00155973,0.00155973
15,93.1597,0.9604,1.02243,1.27428,0.72677,0.61177,0.62637,0.40654,1.23104,1.35439,1.5229,0.00155148,0.00155148,0.00155148
16,98.0515,0.92494,0.99879,1.26391,0.8036,0.5709,0.66826,0.41519,1.25809,1.35416,1.51352,0.00154323,0.00154323,0.00154323
17,103.213,0.90006,0.96569,1.23039,0.6027,0.5769,0.5403,0.35243,1.22704,1.42528,1.43903,0.00153497,0.00153497,0.00153497
18,108.762,0.9363,0.96785,1.24413,0.71535,0.66268,0.66435,0.43177,1.19977,1.23332,1.53539,0.00152672,0.00152672,0.00152672
19,114.647,0.87303,0.90572,1.19464,0.78749,0.6555,0.69959,0.45142,1.22598,1.14944,1.45383,0.00151847,0.00151847,0.00151847
20,119.875,0.88579,0.93799,1.24296,0.77159,0.63879,0.67581,0.43785,1.17124,1.22208,1.42716,0.00151022,0.00151022,0.00151022
21,124.828,0.9358,0.94433,1.25633,0.80722,0.62184,0.66873,0.42036,1.20211,1.30048,1.43201,0.00150197,0.00150197,0.00150197
22,130.23,0.9175,0.92672,1.24383,0.78352,0.65104,0.71624,0.4949,1.07499,1.04624,1.32713,0.00149372,0.00149372,0.00149372
23,135.489,0.86607,0.89109,1.22249,0.79884,0.62194,0.68732,0.47227,1.12252,1.13315,1.40596,0.00148546,0.00148546,0.00148546
24,140.503,0.86626,0.87637,1.21317,0.74117,0.71414,0.71084,0.49901,1.12776,1.12115,1.32573,0.00147721,0.00147721,0.00147721
25,145.896,0.88401,0.88197,1.22691,0.7726,0.62954,0.6749,0.42745,1.35982,1.33238,1.6211,0.00146896,0.00146896,0.00146896
26,150.734,0.84885,0.83759,1.1931,0.79633,0.6014,0.6539,0.42825,1.26193,1.46108,1.48413,0.00146071,0.00146071,0.00146071
27,155.844,0.83541,0.83024,1.19546,0.71091,0.53393,0.58376,0.40123,1.21547,1.68419,1.39228,0.00145246,0.00145246,0.00145246
28,161.038,0.85523,0.86036,1.21395,0.63355,0.48243,0.49377,0.319,1.32749,1.7374,1.4698,0.00144421,0.00144421,0.00144421
29,166.065,0.84902,0.82798,1.19852,0.77054,0.59216,0.65473,0.44335,1.21149,1.25313,1.40288,0.00143595,0.00143595,0.00143595
30,171.072,0.86263,0.80572,1.20256,0.81825,0.70208,0.73495,0.51177,1.10639,1.04323,1.38107,0.0014277,0.0014277,0.0014277
31,176.326,0.83045,0.81923,1.18602,0.82656,0.67875,0.72558,0.50304,1.0172,1.01877,1.24102,0.00141945,0.00141945,0.00141945
32,181.149,0.82281,0.77927,1.18541,0.80205,0.66789,0.73519,0.51885,1.06685,0.99556,1.29689,0.0014112,0.0014112,0.0014112
33,185.952,0.80388,0.75746,1.15386,0.76652,0.66747,0.72193,0.4841,1.08094,1.02211,1.31925,0.00140295,0.00140295,0.00140295
34,190.988,0.81169,0.78804,1.17915,0.7709,0.65866,0.69706,0.4836,1.16714,1.13838,1.38941,0.0013947,0.0013947,0.0013947
35,196.217,0.81333,0.76771,1.18939,0.88335,0.64093,0.74033,0.50002,1.1131,1.03786,1.33181,0.00138644,0.00138644,0.00138644
36,201.364,0.82815,0.75515,1.17563,0.81322,0.63269,0.71261,0.45503,1.18047,1.12035,1.43365,0.00137819,0.00137819,0.00137819
37,206.456,0.77723,0.73579,1.15477,0.87468,0.65612,0.76936,0.53239,1.06435,0.95573,1.33014,0.00136994,0.00136994,0.00136994
38,211.477,0.76964,0.72887,1.1571,0.76573,0.71319,0.76361,0.53426,1.08483,0.96618,1.28104,0.00136169,0.00136169,0.00136169
39,216.73,0.80054,0.73786,1.16604,0.80272,0.70464,0.73785,0.52233,1.09183,0.95282,1.29019,0.00135344,0.00135344,0.00135344
40,221.719,0.81982,0.74892,1.18036,0.84659,0.63411,0.73639,0.53446,1.02698,0.99662,1.27844,0.00134519,0.00134519,0.00134519
41,226.658,0.79893,0.7354,1.1635,0.82446,0.64859,0.68972,0.49413,1.11312,1.04313,1.35156,0.00133693,0.00133693,0.00133693
42,231.642,0.75736,0.66907,1.12202,0.80662,0.65881,0.67217,0.47665,1.02448,1.02377,1.28433,0.00132868,0.00132868,0.00132868
43,236.524,0.77591,0.702,1.14229,0.76616,0.70221,0.7206,0.51262,1.04116,0.94532,1.28962,0.00132043,0.00132043,0.00132043
44,241.649,0.72047,0.67878,1.12868,0.87287,0.6624,0.75099,0.5302,1.04342,0.95828,1.31096,0.00131218,0.00131218,0.00131218
45,246.85,0.74466,0.68621,1.12872,0.83627,0.66057,0.73914,0.52788,1.03008,1.00917,1.30553,0.00130393,0.00130393,0.00130393
46,251.958,0.74069,0.66639,1.11789,0.78887,0.67135,0.71732,0.49976,1.08079,1.12759,1.34228,0.00129568,0.00129568,0.00129568
47,257.34,0.75052,0.69496,1.12849,0.88134,0.61918,0.71084,0.48983,1.12597,1.12461,1.37204,0.00128742,0.00128742,0.00128742
48,262.476,0.75552,0.6753,1.1328,0.8229,0.67011,0.73173,0.52096,1.01242,1.00083,1.27117,0.00127917,0.00127917,0.00127917
49,267.586,0.74816,0.6611,1.12829,0.83086,0.66299,0.75274,0.52424,1.03511,0.95233,1.23905,0.00127092,0.00127092,0.00127092
50,272.653,0.74598,0.68102,1.10452,0.83669,0.66955,0.75231,0.53258,1.03279,0.94447,1.23515,0.00126267,0.00126267,0.00126267
51,277.414,0.7064,0.62059,1.10843,0.77378,0.74571,0.74871,0.52304,1.03735,0.94866,1.28478,0.00125442,0.00125442,0.00125442
52,282.639,0.73588,0.66596,1.13834,0.77811,0.697,0.74109,0.50836,1.07877,0.94832,1.32556,0.00124617,0.00124617,0.00124617
53,288.903,0.70224,0.61816,1.08866,0.78776,0.68199,0.74094,0.52737,0.99731,0.91062,1.2149,0.00123791,0.00123791,0.00123791
54,294.2,0.71423,0.6285,1.1176,0.83159,0.68455,0.76016,0.5548,0.96058,0.85134,1.22744,0.00122966,0.00122966,0.00122966
55,299.175,0.68247,0.62254,1.08908,0.87013,0.68143,0.76421,0.55999,0.95072,0.83142,1.23936,0.00122141,0.00122141,0.00122141
56,303.988,0.68194,0.62363,1.07679,0.8261,0.64622,0.7413,0.50616,1.08238,0.94155,1.30263,0.00121316,0.00121316,0.00121316
57,308.811,0.71986,0.62366,1.11165,0.82029,0.6555,0.73921,0.50319,1.06933,1.01306,1.2645,0.00120491,0.00120491,0.00120491
58,314.128,0.72731,0.64207,1.10828,0.78796,0.69951,0.7235,0.50674,0.9999,0.93849,1.24876,0.00119666,0.00119666,0.00119666
59,319.22,0.70767,0.63579,1.11262,0.84621,0.62574,0.73445,0.51054,1.08568,0.9597,1.33125,0.0011884,0.0011884,0.0011884
60,324.528,0.69346,0.62374,1.08386,0.77921,0.66452,0.72242,0.50067,1.08197,0.9557,1.34046,0.00118015,0.00118015,0.00118015
61,329.921,0.69658,0.60874,1.08687,0.83646,0.67374,0.72077,0.503,0.99726,1.03387,1.25006,0.0011719,0.0011719,0.0011719
62,334.843,0.69287,0.59414,1.10753,0.85109,0.64001,0.71245,0.51571,0.99798,1.18976,1.23956,0.00116365,0.00116365,0.00116365
63,339.789,0.70936,0.60216,1.10045,0.83496,0.65993,0.71661,0.5046,1.06147,1.14407,1.30392,0.0011554,0.0011554,0.0011554
